type,obfuscated_package,obfuscated_class,meaningful_name,notes
class,com.corrodinggames.rts.game.units,ak,UnitShield,Unit shield component
class,com.corrodinggames.rts.game.units,e,BuildingBase,Building base class (extends d)
class,com.corrodinggames.rts.gameFramework,i,CrashHandler,Uncaught exception handler (OOM recovery)
class,com.corrodinggames.rts.gameFramework,a,CollisionEngine,"v19.104 agentH: h(""CollisionEngine"")后new + 13碰撞组字段矩阵结构; 原ByteIndexedMap撤销"
class,com.corrodinggames.rts.gameFramework,j,FileWatcher,File modification time checker + live reload
class,com.corrodinggames.rts.gameFramework,z,GameThread,Game thread (extends Thread
class,com.corrodinggames.rts.gameFramework,d,CommandPathPart,"v19.98 T0仲裁: 命令d子对象(long实体+4浮点+int帧号+ao枚举+嵌套k.k路径子流), a(as)/a(k)序列化对; 原GameEngine映射撤销"
class,com.corrodinggames.rts.gameFramework,x,GameObjectComparator,Game object comparator
class,com.corrodinggames.rts.gameFramework,q,GameTimerScheduler,Game timer/scheduler
class,com.corrodinggames.rts.gameFramework,m,WorldGenerator,Map/world generator
class,com.corrodinggames.rts.gameFramework,k,SleepThread,Sleep/pause thread utility
class,com.corrodinggames.rts.gameFramework,t,ThreadPool,Thread pool manager
class,com.corrodinggames.rts.gameFramework,g,PlatformDetector,"v19.101 仲裁: a()静态 os.name检测(mac/darwin→b, win→a, nux→c, 其他→d)返回h平台枚举; 原FileSystem映射撤销 (无文件系统证据)"
class,com.corrodinggames.rts.gameFramework,v,GameEngineFactory,"B2 映射勘误 (02b v.java 方法体铁证: l a(Context) 返回 new game.i(context) = GameEngine 工厂, 非 ZipReader; 03=GameEngineFactory.java)"
class,com.corrodinggames.rts.gameFramework,u,ResourceDomainEnum,Resource domain enum
class,com.corrodinggames.rts.gameFramework,p,AssetLoader,Asset/resource loader
class,com.corrodinggames.rts.gameFramework,b,CollisionGroup,v19.104 agentH: 碰撞组定义 (groupId/collidesWithGroups); 原ByteSlot撤销
class,com.corrodinggames.rts.gameFramework,r,VersionInfo,Version/build info
class,com.corrodinggames.rts.gameFramework,h,OSEnum,OS type enum
class,com.corrodinggames.rts.gameFramework,s,GameStateEnum2,Game state type enum
class,com.corrodinggames.rts.gameFramework,o,KeyCodeMapper,Key code mapping utility
class,com.corrodinggames.rts.game.units.d,a,ExperimentalGroundUnit,Experimental ground unit (extends i)
class,com.corrodinggames.rts.game.units.d,b,CustomGroundUnit,Custom ground unit (extends CustomUnitBase)
class,com.corrodinggames.rts.game.units.d,c,ExperimentalHoverUnit,Experimental hover unit (extends i)
class,com.corrodinggames.rts.game.units.d,f,ExperimentalWaterUnit,Experimental water unit (extends i)
class,com.corrodinggames.rts.game.units.d,g,ExperimentalLandFactory,Experimental land factory (extends i)
class,com.corrodinggames.rts.game.units.d,k,UnitFactoryHelper,Unit factory helper (standalone)
class,com.corrodinggames.rts.game.units.d,m,ExperimentalBuilding,Experimental building (extends i)
class,com.corrodinggames.rts.game.units.d,n,CustomBuildingUnit,Custom building (extends CustomUnitBase)
class,com.corrodinggames.rts.game.units.d,o,ExperimentalAirUnit,Experimental air unit (extends AirUnit)
class,com.corrodinggames.rts.game.units.d,p,ExperimentalSubUnit,Experimental sub unit (extends i)
class,com.corrodinggames.rts.game.units.d,q,UnitActionHelper,Unit action helper (standalone)
class,com.corrodinggames.rts.game.units.e,a,ExtractorBuilding,Extractor/resource building (extends j)
class,com.corrodinggames.rts.game.units.e,b,FactoryBuilding,Factory building (extends j + implements d)
class,com.corrodinggames.rts.game.units.e,d,WallBuilding,Wall/defense building (extends j)
class,com.corrodinggames.rts.game.units.e,e,SubBuildingType1,Building subtype (extends h)
class,com.corrodinggames.rts.game.units.e,f,TurretBuilding,Turret building (extends j)
class,com.corrodinggames.rts.game.units.e,g,SubBuildingType2,Building subtype (extends h)
class,com.corrodinggames.rts.game.units.e,h,AbstractSubBuilding,Abstract sub-building base (extends j)
class,com.corrodinggames.rts.game.units.e,i,SpecialBuilding,Special building (extends h + implements ak)
class,com.corrodinggames.rts.game.units.e,j,AbstractBuildingBase,Abstract building base (extends CustomUnitBase)
class,com.corrodinggames.rts.game.units.e,k,RepairBay,Repair bay building (extends j)
class,com.corrodinggames.rts.game.units.e,l,RadarBuilding,Radar/sensor building (extends j)
class,com.corrodinggames.rts.game.units.e,m,ShieldBuilding,Shield generator building (extends j)
class,com.corrodinggames.rts.game.units.e,n,StorageBuilding,Storage building (extends j)
class,com.corrodinggames.rts.game.units.e,o,PowerBuilding,Power/energy building (extends j)
class,com.corrodinggames.rts.game.units.b,a,UnitBehavior,Unit behavior class (extends no base)
class,com.corrodinggames.rts.game.units.b,b,AbstractUnitBehavior,Abstract unit behavior base
class,com.corrodinggames.rts.game.units.b,c,AttackBehavior,Attack behavior
class,com.corrodinggames.rts.game.units.b,d,MoveBehavior,Move behavior
class,com.corrodinggames.rts.game.units.b,e,BuildBehavior,Build behavior
class,com.corrodinggames.rts.game.units.b,f,RepairBehavior,Repair behavior
class,com.corrodinggames.rts.game.units.h,a,FactoryAction1,Factory action type 1
class,com.corrodinggames.rts.game.units.h,b,FactoryAction2,Factory action type 2
class,com.corrodinggames.rts.game.units.h,c,FactoryAction3,Factory action type 3
class,com.corrodinggames.rts.game.units.h,d,FactoryAction4,Factory action type 4
class,com.corrodinggames.rts.game.units.h,e,FactoryAction5,Factory action type 5
class,com.corrodinggames.rts.game.units.h,f,FactoryAction6,Factory action type 6
class,a.a.a,a,AckPacket,Reliable UDP ACK packet (extends Packet
class,a.a.a,b,DataPacket,Reliable UDP data packet (extends Packet
class,a.a.a,c,ExtendedAckPacket,Reliable UDP EAK packet (extends AckPacket
class,a.a.a,d,FinPacket,Reliable UDP FIN packet (extends Packet
class,a.a.a,e,NullPacket,Reliable UDP NUL keep-alive packet (extends Packet
class,a.a.a,f,ResetPacket,Reliable UDP RST packet (extends Packet
class,a.a.a,g,SynPacket,Reliable UDP SYN connection setup (extends Packet
class,a.a.a,h,Packet,Abstract reliable UDP packet base (factory deserializer
class,a.a.a,i,TaskRunner,Runnable wrapper with wait/notify scheduling in daemon thread
class,a.a,a,DataReceiver,Abstract data receiver (single method: receive(byte[] int))
class,a.a,b,ReliableServerSocket,UDP-based ServerSocket (extends ServerSocket
class,a.a,c,AddressFilter,Abstract socket address filter (single method: accept(SocketAddress))
class,a.a,d,ReliableServerThread,"Daemon thread ""ReliableServerSocket"" processing incoming UDP packets"
class,a.a,e,ReliableClientSocket,Client-side reliable socket (extends ReliableSocket
class,a.a,f,ServerConnectionListener,Connection handler (implements ConnectionEventHandler
class,a.a,g,ConnectionEntry,Simple container (long + ReliableClientSocket pair)
class,a.a,h,ReliableSocket,Core reliable UDP socket (extends Socket
class,a.a,i,SocketStats,Connection statistics tracker (sent/recv/dropped counters)
class,a.a,j,SocketInitTask,Runnable that calls socket init method
class,a.a,k,SocketStartTask,Runnable that calls socket start method
class,a.a,l,NullPacketSender,Runnable that sends NUL keep-alive packets
class,a.a,m,ReliableSocketThread,"Daemon thread ""ReliableSocket"" dispatching SYN/EAK/DAT/ACK packets"
class,a.a,n,PacketSender,Runnable that flushes queued packets to socket
class,a.a,o,ReliableInputStream,InputStream over reliable socket (buffered reads)
class,a.a,p,SocketLifecycle,Interface with 4 lifecycle callbacks (start/stop/connect/disconnect)
class,a.a,q,ReliableOutputStream,OutputStream over reliable socket (buffered writes + flush)
class,a.a,r,ReliableProfile,11 network parameters (maxSegmentSize=300 timeout=600 retrans=3 etc)
class,a.a,s,ConnectionEventHandler,Interface with 5 callbacks (onConnect/onDisconnect/onIdle/onSend/onRecv)
class,com.corrodinggames.rts.game.b,a,MapSpawn,Map spawn/mission data parser (XML Element Properties RectF)
class,com.corrodinggames.rts.game.b,d,MapLayerRenderer,Individual map layer renderer (Paint texture sprite)
class,com.corrodinggames.rts.game.b,e,TMXMapLoader,TMX map file loader (GZIPInputStream InflaterInputStream Base64)
class,com.corrodinggames.rts.game.b,f,MapException,Map-related exception (extends Exception)
class,com.corrodinggames.rts.game.b,h,TileDrawer,Single tile rendering (Paint Rect y=sprite e=texture)
class,com.corrodinggames.rts.gameFramework.a,a,AndroidSoundFactory,Android SoundPool audio factory (extends h 15-slot pool)
class,com.corrodinggames.rts.gameFramework.c,a,DebugServer,Developer debug socket server (port 5677
class,com.corrodinggames.rts.gameFramework.d,a,GameHUD,In-game HUD overlay (Paint RectF UnitInstance build queue display)
class,com.corrodinggames.rts.gameFramework.e,a,FileLoader,Storage/file system abstraction (Build.VERSION SDK checks)
class,com.corrodinggames.rts.gameFramework.h,a,Localization,Translation system (ResourceBundle Locale PropertyResourceBundle)
class,com.corrodinggames.rts.gameFramework.i,a,VersionChecker,Mod version compatibility checker (semantic version parsing)
class,com.corrodinggames.rts.gameFramework.j,a,ChatSystem,In-game chat/message system (Html Spanned spam detection)
class,com.corrodinggames.rts.gameFramework.k,a,UnitList,Growable typed unit list (extends AbstractList Serializable RandomAccess)
class,com.corrodinggames.rts.gameFramework.l,a,PerformanceMonitor,FPS tracker + file logging
class,com.corrodinggames.rts.gameFramework.m,a,OpenGLRenderer,Main OpenGL ES 1.0 renderer (implements GLSurfaceView.Renderer)
class,com.corrodinggames.rts.gameFramework.o,a,SteamEngine,Steam integration (invite overlay workshop achievements)
class,com.corrodinggames.rts.game.units.a,a,UnitActionBase,Abstract base for unit actions (operates on GameContext am)
class,com.corrodinggames.rts.game.units.a,b,ActionFilter,Unit action availability filter (emptyActionFilter singleton)
class,com.corrodinggames.rts.game.units.a,c,ActionId,Interned string action identifier (HashMap cache)
class,com.corrodinggames.rts.game.units.a,d,AttackAction,"Attack mode action (extends s name=""c_7"" ""Attack Mode"")"
class,com.corrodinggames.rts.game.units.g,a,UnitComponent,Abstract serializable unit component (int id InputNetStream/OutputNetStream)
class,com.corrodinggames.rts.game.units.f,b,UnitArrayList,Growable array of UnitInstance references (am[] backing dynamic growth)
class,com.corrodinggames.rts.game.units.f,e,UnitFilter,Abstract spatial filter (single method: accept(UnitInstance) returns boolean)
class,com.corrodinggames.rts.game.units.f,i,SpatialQuery,Abstract spatial query (extends SpatialCallback excludeTeam onlyEnemiesOfTeam getResult)
class,com.corrodinggames.rts.game.units.f,j,SpatialCallback,Abstract spatial callback (callback(UnitType float UnitInstance))
class,com.corrodinggames.rts.game.units.c,a,MeleeBugUnit,Melee bug/ladybug unit (extends j references R$drawable.ladybug); 03 树已应用 units/special/. real_pkg: com.corrodinggames.rts.game.units.special
class,com.corrodinggames.rts.game.a.a,a,AIStrategy,Abstract AI strategy base (b=result k=serialize as=deserialize)
class,com.corrodinggames.rts.game.a.a,b,AIStrategyResult,AI strategy evaluation result
class,com.corrodinggames.rts.game.a.a,c,AIUnitGroupStrategy,AI unit group strategy (extends AIStrategy has UnitRegistry[u] abstract c())
class,com.corrodinggames.rts.game.a.a,d,AINukeStrategy,AI nuke launcher strategy (extends AIUnitGroupStrategy PointF targeting nukeLauncher)
class,com.corrodinggames.rts.game.units.a,e,AttackMoveAction,"Unit action ""c_4"" Attack Move command (extends s u.h)"
class,com.corrodinggames.rts.game.units.a,f,GuardAction,"Unit action ""c_8"" Guard unit command (extends s u.l gui.actions.guardUnit)"
class,com.corrodinggames.rts.game.units.a,g,BuildAction,Unit action for building/construction (extends s has savedSelectedUnitsCache UnitTypeHandle)
class,com.corrodinggames.rts.game.units.a,h,ActionWrapper,Unit action wrapper/decorator (extends s delegates to inner action a)
class,com.corrodinggames.rts.game.units.a,i,PatrolAction,"Unit action ""c_9"" Patrol command (extends s u.m gui.actions.patrol)"
class,com.corrodinggames.rts.game.units.a,j,PingAction,"Unit action ""c_6_{type}"" Map ping (extends s u.j PingType parameter)"
class,com.corrodinggames.rts.game.units.a,k,PingType,Map ping type enum (a-l 12 values menus.ingame.ping.type.*)
class,com.corrodinggames.rts.game.units.a,l,UnitBuildAction,"Build unit command (extends w name=""u_{unitId}"" shows unit cost/stats)"
class,com.corrodinggames.rts.game.units.a,m,ReclaimAction,"Unit action ""c_2"" Reclaim target (extends s gui.actions.reclaimTarget)"
class,com.corrodinggames.rts.game.units.a,n,RepairAction,"Unit action ""c_3"" Repair target (extends s gui.actions.repairTarget)"
class,com.corrodinggames.rts.game.units.a,o,RallyPointAction,"Unit action ""c_1"" Set rally point (extends s gui.actions.setRally)"
class,com.corrodinggames.rts.game.units.a,p,AbstractCutsceneAction,"Abstract UI/cutscene action (extends s name=""c__cut_{name}"" no resource target)"
class,com.corrodinggames.rts.game.units.a,q,TeamChatAction,"Cutscene action ""c__cut_chat"" Team Chat (extends AbstractCutsceneAction)"
class,com.corrodinggames.rts.game.units.a,r,MapPingAction,"Cutscene action ""c__cut_ping"" Map Ping (extends AbstractCutsceneAction)"
class,com.corrodinggames.rts.game.units.a,s,GameAction,Core game action class (implements Comparable priority-based action ordering)
class,com.corrodinggames.rts.game.units.a,t,ActionCategory,Unit action category enum (t.a default category)
class,com.corrodinggames.rts.game.units.a,u,ActionTargetType,Unit action target type enum (u.h/j/k/l/m enum values)
class,com.corrodinggames.rts.game.units.a,w,AbstractBuildAction,Abstract build-related action base (l extends w build unit/tech actions)
class,com.corrodinggames.rts.game.units.a,v,BuildQueueAction,"Factory build queue action (extends s name=""b_{unitId}"" unit count UnitTypeHandle)"
class,com.corrodinggames.rts.game.units.a,x,AbstractImmediateAction,Abstract immediate/no-target action (extends s u.a t.a no resource)
class,com.corrodinggames.rts.game.units.a,y,StopAction,"Unit action ""c_5"" Stop command (extends s u.i t.g priority=-9990)"
class,com.corrodinggames.rts.game.units.a,z,SellAction,"Sell/delete unit action (extends s name=""s_{unitId}"" priority=-9999 u.i)"
class,com.corrodinggames.rts.game.b,i,MapLayerDef,Map layer definition (name width height spawns ArrayList XML parsing)
class,com.corrodinggames.rts.game.b,j,TilesetDef,Tileset data definition (image source tile dimensions spacing properties)
class,com.corrodinggames.rts.game.b,k,TileEntry,Single tileset tile entry (id image properties package-private)
class,com.corrodinggames.rts.game.units.d,h,PowerGeneratorUnit,Power/energy generator unit (extends i 3 tech levels 2.0/7.0/14.0 output R$drawable.power)
class,com.corrodinggames.rts.game.units.d,i,MobileBuilderBase,Abstract mobile builder base (extends ExperimentalGroundUnit implements l delegates to k factory helper)
class,com.corrodinggames.rts.game.units.d,r,RepairBayUnit,Repair bay/turret unit (extends ExperimentalGroundUnit implements d R$drawable.repair_bay auto area heal)
class,com.corrodinggames.rts.game.units.d,s,AutoRepairCallback,Spatial query callback for auto-repair scanning (extends SpatialQuery finds damaged units in range)
class,com.corrodinggames.rts.game.units.d,u,UpgradeToT2Action,Factory upgrade to tech level 2 action (extends AbstractBuildAction gui.actions.upgradeT2 ar.d.c(2))
class,com.corrodinggames.rts.game.units.d,v,FabricatorUnit,Mobile fabricator/builder unit (extends i ar.N tech levels 1-3)
class,com.corrodinggames.rts.game.units.d,w,ExperimentalWallUnit,Experimental wall building unit (extends i R$drawable.wall_v 15x15 size)
class,com.corrodinggames.rts.game.units.g,b,ComponentType,Unit component type enum (2 values a/b with anonymous subclasses)
class,com.corrodinggames.rts.game.units.g,c,ComponentUpdater,Static component updater utility (iterates components calls update removes expired)
class,com.corrodinggames.rts.game.units.g,d,FloatComponent,Float-valued unit component (extends UnitComponent serializable float b)
class,com.corrodinggames.rts.game.units.g,e,TimerComponent,Timer/cooldown unit component (extends UnitComponent int b start tick ActionId filter c)
class,com.corrodinggames.rts.gameFramework.j,n,WebAPIClient,Apache HttpClient-based web API (Steam Workshop mod download HTTP report)
class,com.corrodinggames.rts.gameFramework.j,aw,ByteArrayPacketBuilder,Print-based packet builder (extends PacketBuilder ByteArrayOutputStream+PrintStream linked list queue)
class,com.corrodinggames.rts.gameFramework.j,ao,ServerListener,Multiplayer server socket listener (implements Runnable ServerSocket IP filtering NetEngine ref)
class,com.corrodinggames.rts.gameFramework.j,h,SteamSocket,"Steam networking socket wrapper (extends Socket Steam P2P ""Closing steam socket"")"
class,com.corrodinggames.rts.gameFramework.j,e,SendWorker,"Network send worker thread (implements Runnable DataOutputStream named ""SendWorker-{id}"" wait/notify)"
class,com.corrodinggames.rts.gameFramework.j,af,UDPBroadcastListener,UDP broadcast discovery listener (implements Runnable DatagramSocket ping/pong MAGIC_GAME_ID)
class,com.corrodinggames.rts.gameFramework.n,g,AIWaveParser,AI wave command parser (parses +prefix spawn commands); aicore 身份固化. real_pkg: com.corrodinggames.rts.gameFramework.aicore
class,com.corrodinggames.rts.gameFramework.g,a,DataFieldCollector,Stats/data field collector (groups DataField by player type/team for display)
class,com.corrodinggames.rts.gameFramework.h,b,MultiResourceBundle,"Merged ResourceBundle (mod + base game translations fallback ""MultipleResourceBundle: Slow get keys"")"
class,com.corrodinggames.rts.gameFramework.l,b,FilePickerCallback,Abstract callback for file picker dialog (onFileSelected onCancelled)
class,com.corrodinggames.rts.gameFramework.l,c,PlatformBackend,"Abstract platform backend (shareFile file picker ""PlatformExtensionBackend:shareFile"")"
class,com.corrodinggames.rts.gameFramework.c,b,DebugSession,Debug socket REPL handler (implements Runnable BufferedReader/PrintWriter per-connection)
class,com.corrodinggames.rts.gameFramework.c,c,DebugMonitorTask,Periodic debug monitor (implements Runnable System.gc() auto-GC debug overlay update)
class,com.corrodinggames.rts.gameFramework.i,b,ModInfo,Mod metadata container (implements Comparable 30+ fields: name desc version author path enabled flags)
class,com.corrodinggames.rts.gameFramework.i,c,ModLoadEntry,Mod discovery intermediate entry (String a/b + ModInfo c + parent VersionChecker)
class,com.corrodinggames.rts.gameFramework.e,b,FileAccessFlags,File access permission flags (3 booleans: canRead canWrite exists)
class,com.corrodinggames.rts.gameFramework.e,c,StorageBackend,"Base storage backend class (log prefix ""FileLoader: "" path operations for mod/assets)"
class,com.corrodinggames.rts.gameFramework.e,d,PathStorage,Single-path storage backend (extends StorageBackend base path mount name)
class,com.corrodinggames.rts.gameFramework.e,e,DualStorage,Dual/fallback storage backend (extends StorageBackend primary g + fallback h)
class,com.corrodinggames.rts.gameFramework.e,f,NullStorage,"Null/empty storage backend (extends StorageBackend returns ""/[NONE]/"" for everything)"
class,com.corrodinggames.rts.gameFramework.e,g,FilePathSanitizer,"File path sanitization utility (escapes / \\ : \"" ' | ? * < > \\0 for safe filenames)"
class,com.corrodinggames.rts.gameFramework.e,h,InputStreamHolder,Simple InputStream wrapper with close() for resource management
class,com.corrodinggames.rts.gameFramework.d,b,CloudRenderer,Cloud/noise overlay renderer (R$drawable.noise texture animated scrolling renderClouds setting)
class,com.corrodinggames.rts.gameFramework.d,d,HUDAnchor,HUD positioning anchor enum (9 values: a-i for screen position anchoring)
class,com.corrodinggames.rts.gameFramework.d,e,HUDElement,Individual HUD element (effect template ay flags c-s PointF state constants h-m=1-7)
class,com.corrodinggames.rts.gameFramework.d,f,DrawEffect,Animated map draw effect (extends w position floats serializable explosion/build effects)
class,com.corrodinggames.rts.gameFramework.d,g,HUDElementRenderer,HUD element texture renderer (darkens texture draws with frame count positioning)
class,com.corrodinggames.rts.gameFramework.d,h,DrawLayer,Draw ordering layer enum (5 values a-e ordinal comparison for z-ordering)
class,com.corrodinggames.rts.gameFramework,aa,GroupController,"v19.101 仲裁: b()创建递增id分组(ab2.e=a++) + a(m,y,m,float,int)单位分组算法(while!isEmpty按位置编组); h(""GroupController"")后new aa()字段角色一致; 原ProjectileWeapon撤销"
class,com.corrodinggames.rts.gameFramework,ab,ProjectileManager,Projectile batch manager (manages projectile groups tracks hit units WeaponAction)
class,com.corrodinggames.rts.gameFramework,ac,KeyBindings,Key binding configuration registry (50+ named bindings: Camera Zoom Chat Ping Save Select Build etc)
class,com.corrodinggames.rts.gameFramework,ad,KeyBinding,Single key binding (String name ArrayList c triggers ArrayList d alternates isPressed isDown)
class,com.corrodinggames.rts.gameFramework,am,MusicController,"v19.98 T0仲裁: 常量池全音乐字符串 (Failed to load music track/Music subsystem crashed/Next music track/musicVolume) + game.i h(""MusicController"")后new am(); 原GameRenderer映射撤销"
class,com.corrodinggames.rts.gameFramework,ap,MusicPlayer,MediaPlayer-based music player (extends PacketBuilder MediaPlayer pool playback control)
class,com.corrodinggames.rts.gameFramework,at,MusicFolder,Music source folder enum (3 values a/b/c scans directories for music files via FileLoader)
class,com.corrodinggames.rts.gameFramework,be,SaveFileHandler,Save file I/O handler (rtsSave/rtsSave.bak DataInputStream/DataOutputStream HashMap singleton 215 lines)
class,com.corrodinggames.rts.gameFramework,y,GameSaver,Main game save/load system (1371 lines — CRASH LOG VERIFIED: gameFramework.y.a at line 1371)
class,com.corrodinggames.rts.gameFramework,ba,ReplayEngine,Replay recording/playback engine (1700+ lines — CRASH LOG VERIFIED: ba.h[1587] ba.a[1713/907/780] ba.c[687])
class,com.corrodinggames.rts.gameFramework,bb,ReplayWriter,Replay frame writer thread (implements Runnable ConcurrentLinkedQueue frame queue background write)
class,com.corrodinggames.rts.gameFramework,bd,ReplayFrame,Single replay frame data (frame number timestamp byte[] data GameEvent ref float position)
class,com.corrodinggames.rts.java,i,DesktopPlatform,Desktop platform adapter (1314+ lines extends n shows alert dialogs message boxes AWT Toolkit ScriptEngine)
class,com.corrodinggames.rts.java,j,LWJGLDisplayThread,LWJGL display init thread (1464+ lines implements Runnable GL11 OpenGL version detection software fallback)
class,com.corrodinggames.rts.java,t,SlickImageData,Slick2D ImageData wrapper (implements ImageData wraps Slick2D Texture byte[] RGBA/RGB depth)
class,com.corrodinggames.rts.java,c,DisplayMessagePump,LWJGL Display message pump thread (extends Thread sleep 1ms Display.processMessages loop)
class,com.corrodinggames.rts.java,d,DesktopAppFramework,Desktop app framework adapter (implements appFramework.f AudioDevice window sync objects)
class,com.corrodinggames.rts.java,f,FontKey,Font cache key (Slick2D Font size bold fallback glyph cache strings toString debug)
class,com.corrodinggames.rts.gameFramework,bs,GamePhase,Game loop timing phase enum (30 values: draw_end update_do_all_collisions update_all_team_and_ai load_map etc)
class,com.corrodinggames.rts.gameFramework,bt,PerformanceTimer,Scoped performance timer (name enabled count peak_ms avg_ms total_ms profiling)
class,com.corrodinggames.rts.gameFramework,an,MusicFactory,"Android MediaPlayer music factory (creates MediaPlayer pool MusicPlayer instances ""AndroidMusicFactory"")"
class,com.corrodinggames.rts.gameFramework,au,RenderThread,Render thread (extends Thread drives GameRenderer loop wait/notify on vsync)
class,com.corrodinggames.rts.gameFramework,ag,KeyTrigger,Single keyboard key trigger (checks key state via KeyBindings ac.b)
class,com.corrodinggames.rts.gameFramework,ah,AxisTrigger,Analog axis trigger (gamepad joystick mouse wheel float 0-1 value)
class,com.corrodinggames.rts.gameFramework,ax,ReplayRecorder,Replay recording packet builder (extends PacketBuilder PingTimer TextPacketBuilder)
class,com.corrodinggames.rts.gameFramework,ay,Sprite,Animated sprite (extends SpriteBase integer width/height float center)
