obfuscated_package,obfuscated_class,best_03_name,overlap,reason
com.corrodinggames.rts.gameFramework.g,b,DataField,1,重合1<阈值或并列 (次佳1)
com.corrodinggames.rts.gameFramework.g,d,,0,02b无字符串
com.corrodinggames.rts.gameFramework.g,e,,0,02b无字符串
com.corrodinggames.rts.gameFramework.j,ag,,0,02b无字符串
com.corrodinggames.rts.gameFramework.j,t,,0,02b无字符串
com.corrodinggames.rts.gameFramework.m,ab,,0,02b无字符串
com.corrodinggames.rts.gameFramework.m,c,,0,02b无字符串
com.corrodinggames.rts.gameFramework.m,r,,0,02b无字符串
com.corrodinggames.rts.gameFramework.m,s,,0,02b无字符串
com.corrodinggames.rts.gameFramework.m,w,,0,02b无字符串
com.corrodinggames.rts.gameFramework.n.a,a,,0,02b无字符串
com.corrodinggames.rts.gameFramework.n.a,b,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.gameFramework.n.a,c,UnitCountCondition,1,重合1<阈值或并列 (次佳0)
com.corrodinggames.rts.gameFramework.utility,ad,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.gameFramework.utility,ae,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,af,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,ah,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.gameFramework.utility,ai,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,ak,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,al,SettingsEngine,1,重合1<阈值或并列 (次佳1)
com.corrodinggames.rts.gameFramework.utility,am,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,e,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,f,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,g,RingBuffer,1,重合1<阈值或并列 (次佳0)
com.corrodinggames.rts.gameFramework.utility,i,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.gameFramework.utility,k,,0,02b无字符串
com.corrodinggames.rts.gameFramework.utility,m,UnitList,8,重合8<阈值或并列 (次佳8)
com.corrodinggames.rts.gameFramework.utility,u,UnitRegistry,7,重合7<阈值或并列 (次佳7)
com.corrodinggames.rts.java.a,a,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,c,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,f,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.java.audio.a,g,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,j,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.java.audio.a,k,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,m,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,n,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,p,AssetManager,0,重合0<阈值或并列 (次佳0)
com.corrodinggames.rts.java.audio.a,q,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,s,,0,02b无字符串
com.corrodinggames.rts.java.audio.a,t,,0,02b无字符串
com.corrodinggames.rts.java.c,c,,0,02b无字符串
com.corrodinggames.rts.java.c,d,,0,02b无字符串
com.corrodinggames.rts.java.c,h,,0,02b无字符串
