fqn,group,status,project_name,fwd_value_count,supplement_members,note
com.codedisaster.steamworks.SteamAPIWarningMessageHook,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAPIWarningMessageHook.java
com.codedisaster.steamworks.SteamApps,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamApps.java
com.codedisaster.steamworks.SteamAuth,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAuth.java
com.codedisaster.steamworks.SteamAuth$AuthSessionResponse,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAuth$AuthSessionResponse.java
com.codedisaster.steamworks.SteamAuth$BeginAuthSessionResult,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAuth$BeginAuthSessionResult.java
com.codedisaster.steamworks.SteamAuth$UserHasLicenseForAppResult,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAuth$UserHasLicenseForAppResult.java
com.codedisaster.steamworks.SteamAuthTicket,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamAuthTicket.java
com.codedisaster.steamworks.SteamCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamCallbackAdapter.java
com.codedisaster.steamworks.SteamController,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamController.java
com.codedisaster.steamworks.SteamController$ActionOrigin,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamController$ActionOrigin.java
com.codedisaster.steamworks.SteamController$LEDFlag,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamController$LEDFlag.java
com.codedisaster.steamworks.SteamController$Pad,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamController$Pad.java
com.codedisaster.steamworks.SteamController$Source,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamController$Source.java
com.codedisaster.steamworks.SteamController$SourceMode,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamController$SourceMode.java
com.codedisaster.steamworks.SteamControllerActionSetHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerActionSetHandle.java
com.codedisaster.steamworks.SteamControllerAnalogActionData,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerAnalogActionData.java
com.codedisaster.steamworks.SteamControllerAnalogActionHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerAnalogActionHandle.java
com.codedisaster.steamworks.SteamControllerDigitalActionData,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerDigitalActionData.java
com.codedisaster.steamworks.SteamControllerDigitalActionHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerDigitalActionHandle.java
com.codedisaster.steamworks.SteamControllerHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerHandle.java
com.codedisaster.steamworks.SteamControllerMotionData,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamControllerMotionData.java
com.codedisaster.steamworks.SteamException,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamException.java
com.codedisaster.steamworks.SteamFriends,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends.java
com.codedisaster.steamworks.SteamFriends$FriendFlags,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$FriendFlags.java
com.codedisaster.steamworks.SteamFriends$FriendRelationship,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$FriendRelationship.java
com.codedisaster.steamworks.SteamFriends$OverlayDialog,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$OverlayDialog.java
com.codedisaster.steamworks.SteamFriends$OverlayToStoreFlag,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$OverlayToStoreFlag.java
com.codedisaster.steamworks.SteamFriends$OverlayToUserDialog,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$OverlayToUserDialog.java
com.codedisaster.steamworks.SteamFriends$PersonaChange,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$PersonaChange.java
com.codedisaster.steamworks.SteamFriends$PersonaState,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriends$PersonaState.java
com.codedisaster.steamworks.SteamFriendsCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriendsCallback.java
com.codedisaster.steamworks.SteamFriendsCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamFriendsCallbackAdapter.java
com.codedisaster.steamworks.SteamGameServer,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServer.java
com.codedisaster.steamworks.SteamGameServer$DenyReason,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServer$DenyReason.java
com.codedisaster.steamworks.SteamGameServerAPI,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerAPI.java
com.codedisaster.steamworks.SteamGameServerAPI$ServerMode,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerAPI$ServerMode.java
com.codedisaster.steamworks.SteamGameServerCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerCallback.java
com.codedisaster.steamworks.SteamGameServerCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerCallbackAdapter.java
com.codedisaster.steamworks.SteamGameServerStats,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerStats.java
com.codedisaster.steamworks.SteamGameServerStatsCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerStatsCallback.java
com.codedisaster.steamworks.SteamGameServerStatsCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamGameServerStatsCallbackAdapter.java
com.codedisaster.steamworks.SteamHTTP,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTP.java
com.codedisaster.steamworks.SteamHTTP$API,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTP$API.java
com.codedisaster.steamworks.SteamHTTP$HTTPMethod,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTP$HTTPMethod.java
com.codedisaster.steamworks.SteamHTTP$HTTPStatusCode,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTP$HTTPStatusCode.java
com.codedisaster.steamworks.SteamHTTPCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTPCallback.java
com.codedisaster.steamworks.SteamHTTPCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTPCallbackAdapter.java
com.codedisaster.steamworks.SteamHTTPRequestHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamHTTPRequestHandle.java
com.codedisaster.steamworks.SteamID,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamID.java
com.codedisaster.steamworks.SteamInterface,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamInterface.java
com.codedisaster.steamworks.SteamLeaderboardEntriesHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamLeaderboardEntriesHandle.java
com.codedisaster.steamworks.SteamLeaderboardEntry,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamLeaderboardEntry.java
com.codedisaster.steamworks.SteamLeaderboardHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamLeaderboardHandle.java
com.codedisaster.steamworks.SteamMatchMakingKeyValuePair,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchMakingKeyValuePair.java
com.codedisaster.steamworks.SteamMatchmaking,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking.java
com.codedisaster.steamworks.SteamMatchmaking$ChatEntry,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$ChatEntry.java
com.codedisaster.steamworks.SteamMatchmaking$ChatEntryType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$ChatEntryType.java
com.codedisaster.steamworks.SteamMatchmaking$ChatMemberStateChange,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$ChatMemberStateChange.java
com.codedisaster.steamworks.SteamMatchmaking$ChatRoomEnterResponse,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$ChatRoomEnterResponse.java
com.codedisaster.steamworks.SteamMatchmaking$LobbyComparison,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$LobbyComparison.java
com.codedisaster.steamworks.SteamMatchmaking$LobbyDistanceFilter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$LobbyDistanceFilter.java
com.codedisaster.steamworks.SteamMatchmaking$LobbyType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmaking$LobbyType.java
com.codedisaster.steamworks.SteamMatchmakingCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmakingCallback.java
com.codedisaster.steamworks.SteamMatchmakingCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamMatchmakingCallbackAdapter.java
com.codedisaster.steamworks.SteamNativeHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNativeHandle.java
com.codedisaster.steamworks.SteamNetworking,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworking.java
com.codedisaster.steamworks.SteamNetworking$API,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworking$API.java
com.codedisaster.steamworks.SteamNetworking$P2PSend,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworking$P2PSend.java
com.codedisaster.steamworks.SteamNetworking$P2PSessionError,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworking$P2PSessionError.java
com.codedisaster.steamworks.SteamNetworking$P2PSessionState,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworking$P2PSessionState.java
com.codedisaster.steamworks.SteamNetworkingCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworkingCallback.java
com.codedisaster.steamworks.SteamNetworkingCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamNetworkingCallbackAdapter.java
com.codedisaster.steamworks.SteamPublishedFileID,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamPublishedFileID.java
com.codedisaster.steamworks.SteamPublishedFileUpdateHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamPublishedFileUpdateHandle.java
com.codedisaster.steamworks.SteamRemoteStorage,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorage.java
com.codedisaster.steamworks.SteamRemoteStorage$PublishedFileVisibility,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorage$PublishedFileVisibility.java
com.codedisaster.steamworks.SteamRemoteStorage$RemoteStoragePlatform,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorage$RemoteStoragePlatform.java
com.codedisaster.steamworks.SteamRemoteStorage$UGCReadAction,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorage$UGCReadAction.java
com.codedisaster.steamworks.SteamRemoteStorage$WorkshopFileType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorage$WorkshopFileType.java
com.codedisaster.steamworks.SteamRemoteStorageCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorageCallback.java
com.codedisaster.steamworks.SteamRemoteStorageCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamRemoteStorageCallbackAdapter.java
com.codedisaster.steamworks.SteamResult,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamResult.java
com.codedisaster.steamworks.SteamSharedLibraryLoader,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamSharedLibraryLoader.java
com.codedisaster.steamworks.SteamUGC,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC.java
com.codedisaster.steamworks.SteamUGC$ItemAdditionalPreview,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemAdditionalPreview.java
com.codedisaster.steamworks.SteamUGC$ItemDownloadInfo,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemDownloadInfo.java
com.codedisaster.steamworks.SteamUGC$ItemInstallInfo,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemInstallInfo.java
com.codedisaster.steamworks.SteamUGC$ItemPreviewType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemPreviewType.java
com.codedisaster.steamworks.SteamUGC$ItemState,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemState.java
com.codedisaster.steamworks.SteamUGC$ItemStatistic,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemStatistic.java
com.codedisaster.steamworks.SteamUGC$ItemUpdateInfo,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemUpdateInfo.java
com.codedisaster.steamworks.SteamUGC$ItemUpdateStatus,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$ItemUpdateStatus.java
com.codedisaster.steamworks.SteamUGC$MatchingUGCType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$MatchingUGCType.java
com.codedisaster.steamworks.SteamUGC$UGCQueryType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$UGCQueryType.java
com.codedisaster.steamworks.SteamUGC$UserUGCList,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$UserUGCList.java
com.codedisaster.steamworks.SteamUGC$UserUGCListSortOrder,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGC$UserUGCListSortOrder.java
com.codedisaster.steamworks.SteamUGCCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCCallback.java
com.codedisaster.steamworks.SteamUGCCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCCallbackAdapter.java
com.codedisaster.steamworks.SteamUGCDetails,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCDetails.java
com.codedisaster.steamworks.SteamUGCFileWriteStreamHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCFileWriteStreamHandle.java
com.codedisaster.steamworks.SteamUGCHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCHandle.java
com.codedisaster.steamworks.SteamUGCQuery,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCQuery.java
com.codedisaster.steamworks.SteamUGCUpdateHandle,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUGCUpdateHandle.java
com.codedisaster.steamworks.SteamUniverse,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUniverse.java
com.codedisaster.steamworks.SteamUser,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUser.java
com.codedisaster.steamworks.SteamUserCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserCallback.java
com.codedisaster.steamworks.SteamUserCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserCallbackAdapter.java
com.codedisaster.steamworks.SteamUserStats,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStats.java
com.codedisaster.steamworks.SteamUserStats$LeaderboardDataRequest,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStats$LeaderboardDataRequest.java
com.codedisaster.steamworks.SteamUserStats$LeaderboardDisplayType,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStats$LeaderboardDisplayType.java
com.codedisaster.steamworks.SteamUserStats$LeaderboardSortMethod,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStats$LeaderboardSortMethod.java
com.codedisaster.steamworks.SteamUserStats$LeaderboardUploadScoreMethod,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStats$LeaderboardUploadScoreMethod.java
com.codedisaster.steamworks.SteamUserStatsCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStatsCallback.java
com.codedisaster.steamworks.SteamUserStatsCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUserStatsCallbackAdapter.java
com.codedisaster.steamworks.SteamUtils,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUtils.java
com.codedisaster.steamworks.SteamUtils$NotificationPosition,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUtils$NotificationPosition.java
com.codedisaster.steamworks.SteamUtils$SteamAPICallFailure,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUtils$SteamAPICallFailure.java
com.codedisaster.steamworks.SteamUtilsCallback,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUtilsCallback.java
com.codedisaster.steamworks.SteamUtilsCallbackAdapter,semantic,IDENTITY,,0,0,03: com/codedisaster/steamworks/SteamUtilsCallbackAdapter.java
com.corrodinggames.librocket.scripts.Debug,semantic,RENAMED,com.corrodinggames.librocket.scripts.DebugUI,0,0,
com.corrodinggames.librocket.scripts.Debug$1,semantic,RENAMED,com.corrodinggames.librocket.scripts.DebugUI$1,0,0,
com.corrodinggames.librocket.scripts.Mods,semantic,RENAMED,com.corrodinggames.librocket.scripts.ModsUI,0,0,
com.corrodinggames.librocket.scripts.Mods$1,semantic,RENAMED,com.corrodinggames.librocket.scripts.ModsUI$1,0,0,
com.corrodinggames.librocket.scripts.Multiplayer,semantic,RENAMED,com.corrodinggames.librocket.scripts.MultiplayerUI,0,0,
com.corrodinggames.librocket.scripts.Multiplayer$1,semantic,RENAMED,com.corrodinggames.librocket.scripts.MultiplayerUI$1,0,0,
com.corrodinggames.librocket.scripts.Multiplayer$DropdownOption,semantic,RENAMED,com.corrodinggames.librocket.scripts.MultiplayerUI$DropdownOption,0,0,
com.corrodinggames.librocket.scripts.Root,semantic,RENAMED,com.corrodinggames.librocket.scripts.Root,0,19,
com.corrodinggames.librocket.scripts.Root$1,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$1,0,0,
com.corrodinggames.librocket.scripts.Root$10,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$10,0,0,
com.corrodinggames.librocket.scripts.Root$11,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$11,0,0,
com.corrodinggames.librocket.scripts.Root$2,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$2,0,0,
com.corrodinggames.librocket.scripts.Root$3,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$3,0,0,
com.corrodinggames.librocket.scripts.Root$4,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$4,0,0,
com.corrodinggames.librocket.scripts.Root$5,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$5,0,0,
com.corrodinggames.librocket.scripts.Root$6,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$6,0,0,
com.corrodinggames.librocket.scripts.Root$7,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$7,0,0,
com.corrodinggames.librocket.scripts.Root$8,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$8,0,0,
com.corrodinggames.librocket.scripts.Root$9,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$9,0,0,
com.corrodinggames.librocket.scripts.Root$TableCell,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$TableCell,0,0,
com.corrodinggames.librocket.scripts.Root$TableData,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$TableData,0,0,
com.corrodinggames.librocket.scripts.Root$TableRow,semantic,RENAMED,com.corrodinggames.librocket.scripts.MainUIController$TableRow,0,0,
com.corrodinggames.librocket.scripts.ScriptContext,semantic,RENAMED,com.corrodinggames.librocket.scripts.ScriptContext,0,4,
com.corrodinggames.librocket.scripts.ScriptEngine,semantic,RENAMED,com.corrodinggames.librocket.scripts.ScriptEngine,0,35,
com.corrodinggames.librocket.scripts.ScriptEngine$1,semantic,RENAMED,com.corrodinggames.librocket.scripts.UIScriptEngine$1,0,0,
com.corrodinggames.librocket.scripts.ScriptEngine$Action,semantic,RENAMED,com.corrodinggames.librocket.scripts.UIScriptEngine$Action,0,0,
com.corrodinggames.librocket.scripts.ScriptEngine$RunnableAction,semantic,RENAMED,com.corrodinggames.librocket.scripts.UIScriptEngine$RunnableAction,0,0,
com.corrodinggames.rts.R,semantic,IDENTITY,,0,0,03: com/corrodinggames/rts/R.java
com.corrodinggames.rts.R$anim,semantic,IDENTITY,,0,0,03: com/corrodinggames/rts/R$anim.java
com.corrodinggames.rts.R$array,semantic,IDENTITY,,0,0,03: com/corrodinggames/rts/R$array.java
com.corrodinggames.rts.R$attr,semantic,IDENTITY,,0,0,03: com/corrodinggames/rts/R$attr.java
com.corrodinggames.rts.R$color,semantic,IDENTITY,,0,0,03: com/corrodinggames/rts/R$color.java
