jar_fqn,reason
com.corrodinggames.rts.game.units.ar$49,fwd=com.corrodinggames.rts.game.units.UnitRegistry$49 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$5,fwd=com.corrodinggames.rts.game.units.UnitRegistry$5 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$50,fwd=com.corrodinggames.rts.game.units.UnitRegistry$50 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$51,fwd=com.corrodinggames.rts.game.units.UnitRegistry$51 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$52,fwd=com.corrodinggames.rts.game.units.UnitRegistry$52 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$53,fwd=com.corrodinggames.rts.game.units.UnitRegistry$53 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$6,fwd=com.corrodinggames.rts.game.units.UnitRegistry$6 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$7,fwd=com.corrodinggames.rts.game.units.UnitRegistry$7 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$8,fwd=com.corrodinggames.rts.game.units.UnitRegistry$8 但 03 无对应文件
com.corrodinggames.rts.game.units.ar$9,fwd=com.corrodinggames.rts.game.units.UnitRegistry$9 但 03 无对应文件
com.corrodinggames.rts.game.units.at,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.av,fwd=com.corrodinggames.rts.game.units.UnitOrder 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.a.a,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.a.c,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.a.i,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.a.k,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.a.l,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.a.n,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.b,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.a.e,fwd=com.corrodinggames.rts.game.units.custom.actions.AutoFireMode 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.a.f,fwd=com.corrodinggames.rts.game.units.custom.actions.UnitBuildMode 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.aa,fwd=com.corrodinggames.rts.game.units.custom.ModFileWatcher 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ab,fwd=com.corrodinggames.rts.game.units.custom.ModOriginDescriptor 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ac,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.ad,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.ae,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.af,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.ah,fwd=com.corrodinggames.rts.game.units.custom.ModLoadPhase 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ai,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.aj,fwd=com.corrodinggames.rts.game.units.custom.LocalizedTextParser 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ak,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.al,fwd=com.corrodinggames.rts.game.units.custom.WarLogArrayEntry 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.am,fwd=com.corrodinggames.rts.game.units.custom.WarLogBooleanEntry 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.an,fwd=com.corrodinggames.rts.game.units.custom.WarLogNumberEntry 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ao,fwd=com.corrodinggames.rts.game.units.custom.WarLogStringEntry 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ap,fwd=com.corrodinggames.rts.game.units.custom.WarLogUnitEntry 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.aq,fwd=com.corrodinggames.rts.game.units.custom.WarLogEntryFactory 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ar,fwd=com.corrodinggames.rts.game.units.custom.WarLogStaticEntry 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.as$1,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$10,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$11,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$12,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$13,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$14,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$15,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$16,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$17,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$18,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$19,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$2,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$3,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$4,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$5,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$6,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$7,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$8,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.as$9,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.at,fwd=com.corrodinggames.rts.game.units.custom.UnitDataWriter 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.au,fwd=com.corrodinggames.rts.game.units.custom.VariableScope$MemoryWriterFactory 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.av,fwd=com.corrodinggames.rts.game.units.custom.LogicWriterOperation 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.aw,fwd=com.corrodinggames.rts.game.units.custom.UnitTypeValueEvaluator 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ax,fwd=com.corrodinggames.rts.game.units.custom.UnitValueEvaluator 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.ay,fwd=com.corrodinggames.rts.game.units.custom.CustomEffectTemplate 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.az,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.b.b,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.b.e,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.b.i,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.b.j,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.b.k,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.b.l,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.bb,fwd=com.corrodinggames.rts.game.units.custom.LocalizedStringBuilder 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bc,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.bd,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.be,fwd=com.corrodinggames.rts.game.units.custom.RuleGroupValidator 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bf,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.bg,fwd=com.corrodinggames.rts.game.units.custom.PlacementRuleValidator 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bh,fwd=com.corrodinggames.rts.game.units.custom.ProjectileTemplate 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bi,fwd=com.corrodinggames.rts.game.units.custom.UnitListParser 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bj,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.bk,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.bl,fwd=com.corrodinggames.rts.game.units.custom.UnitSoundResolver 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bm,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.bo,fwd=com.corrodinggames.rts.game.units.custom.ResourceException 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bp,fwd=com.corrodinggames.rts.game.units.custom.TeamRuleValidator 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.bq,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.c.a,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.c.c,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.c.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.c.e,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.c.f,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.d.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.e.a.b,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.e.a.c,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.e.a.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.e.a.e,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.e.a.f,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.e.b,fwd=com.corrodinggames.rts.game.units.custom.effects.SeparatorType 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.e.e,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.f.b,fwd=com.corrodinggames.rts.game.units.custom.config.ActionFilter 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.f.c,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.f.d,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.g,fwd=com.corrodinggames.rts.game.units.custom.TagParser 但 03 无对应文件
com.corrodinggames.rts.game.units.custom.logicBooleans.BooleanParseException,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareBooleanOnly,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualStrings,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareEqualUnits,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareGreaterThanNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareGreaterThanOrEqualNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareLessThanNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareLessThanOrEqualNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualStrings,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNotEqualUnits,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$CompareNumbers,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathAddJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathDivideJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathModulusJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathMultiplyJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$MathSubtractJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.CompareJoinerBoolean$StringJoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$AbstractNumberBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$AndBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$CallContext,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$CallContext_self,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$CallContext_selfAndTarget,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$JoinerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$LogicBooleanCommon,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$LogicBooleanCommonLocking,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$LogicNumberOnly,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$NotBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$OrBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$Parameter,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$ReturnType,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticBooleanFalse,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticBooleanTrue,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$StaticValueBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBoolean$TimeBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanActionFilter,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$AmmoBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$AmmoIncludingQueuedBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$BuiltAmountBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$CompareUnitsBroken,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$CompletedBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$CustomTimerBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$EnergyBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$EnergyIncludingQueuedBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$EventTagsBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$GameMapHeightBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$GameMapWidthBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$GameModeBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasActiveWaypoint,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasFlagBoolean,无 fwd 映射 (identity-index 未收录)
com.corrodinggames.rts.game.units.custom.logicBooleans.LogicBooleanGameFunctions$HasFlagDynamicBoolean,无 fwd 映射 (identity-index 未收录)
