evidence_type,string,host_class,02_location,note
phase-string,Mapfile: assets/maps/menu_background/menu2.tmx,,,
phase-string,Mapfile: assets/maps/menu_background/menu2_moved,,,
phase-string,Mapfile: assets/maps/menu_background/menu3.tmx,,,
phase-string,Mapfile: assets/maps/menu_background/menu3_moved,,,
phase-string,Menu load failed,,,
phase-string,Mod: 'Mega Builders,,,
phase-string,Mod: 'Mega Builders' - Memory use:0.00 mb - disabled  (disabled),,,
phase-string,Mod: 'dynProbeMod,,,
phase-string,Mod: 'dynProbeMod' - Memory use:0.00 mb - disabled  (disabled),,,
phase-string,Mod: 'mega_builders,,,
phase-string,Mod: 'mega_builders' - Memory use:0.00 mb  (disabled),,,
phase-string,Mod: 'mega_builders' - Memory use:0.00 mb - disabled  (disabled),,,
phase-string,Modded Custom '/SD/mods/units' directory not found,,,
phase-string,Modded Custom 'builtin_mods_enabled' directory not found,,,
phase-string,New font:10 bold:false,,,
phase-string,New font:12 bold:false,,,
phase-string,New font:14 bold:false,,,
phase-string,New font:14 bold:true,,,
phase-string,New font:16 bold:false,,,
phase-string,New font:16 bold:true,,,
phase-string,New font:18 bold:false,,,
phase-string,New font:18 bold:true,,,
phase-string,New font:20 bold:false,,,
phase-string,New font:20 bold:true,,,
phase-string,New font:34 bold:false,,,
phase-string,New font:8 bold:false,,,
phase-string,No mod info for: mega_builders at builtin_mods/mega_builders/mod-info.txt,,,
phase-string,NotoSansCJKsc end,,,
phase-string,NotoSansCJKsc start,,,
phase-string,Number of mods:1,,,
phase-string,Number of mods:2,,,
phase-string,OS name: Windows 10,,,
phase-string,OS version: 10.0,,,
phase-string,"PathEngine:We have 20 cores, creating extra solvers",,,
phase-string,Queued:music/buildup/Acti-Rudy_Ves-8657.ogg,,,
phase-string,Queued:music/buildup/Ove - Earth Is All We Have.ogg,,,
phase-string,Queued:music/buildup/[noloop]Ove Melaa - Theme Crystalized.ogg,,,
phase-string,Queued:music/buildup/[noloop]The Planets - Mars (Part A).ogg,,,
phase-string,Queued:music/buildup/[noloop]The Planets - Mars (Part B).ogg,,,
phase-string,Queued:music/starting/Cont-Edgen-6084.ogg,,,
phase-string,Queued:music/starting/battletanks1B.ogg,,,
phase-string,Queued:music/starting/sile-Justin_R-6891.ogg,,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.740ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.745ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.765ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.772ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.842ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.857ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.887ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.966ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (0.984ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (1.000ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (1.014ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (1.071ms),,,
phase-string,Recreating image data from texture: res/drawable/base.png (1.109ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.540ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.563ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.605ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.623ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.632ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.642ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.644ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.663ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.669ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.705ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.738ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.759ms),,,
phase-string,Recreating image data from texture: res/drawable/extractor.png (0.816ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.302ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.307ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.311ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.315ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.318ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.322ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.335ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.354ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.375ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.404ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.426ms),,,
phase-string,Recreating image data from texture: res/drawable/heavy_hover_tank.png (0.462ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.215ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.236ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.244ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.246ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.247ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.254ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.264ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.267ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.285ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.287ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.291ms),,,
phase-string,Recreating image data from texture: res/drawable/laser_tank_base.png (0.338ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.421ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.449ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.455ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.459ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.469ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.489ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.497ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.520ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.531ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.558ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.582ms),,,
phase-string,Recreating image data from texture: res/drawable/ship.png (0.597ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.461ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.467ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.507ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.513ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.524ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.526ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.556ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.559ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.561ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.588ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.593ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.607ms),,,
phase-string,Recreating image data from texture: res/drawable/supply_depot.png (0.836ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.419ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.422ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.425ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.443ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.450ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.465ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.473ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.476ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.481ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.502ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.506ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.519ms),,,
phase-string,Recreating image data from texture: res/drawable/unit_icon_building.png (0.685ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.389ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.391ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.435ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.437ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.439ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.474ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.479ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.487ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.494ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.512ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.520ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.778ms),,,
phase-string,Recreating image data from texture: res/drawable/wall_v.png (0.844ms),,,
phase-string,Running doSingleRequest:http://gs1.corrodinggames.com/masterserver/1.4,,,
phase-string,Running doSingleRequest:http://gs4.corrodinggames.net/masterserver/1.4,,,
phase-string,SAFE MODE: refreshData: Skipping mod read,,,
phase-string,SAFE MODE: skipping setSourceFolder,,,
phase-string,Saving settings to: C:\Users\28210\Downloads\Rusted Warfare\rw源码逆向\RustedWarfare\preferences.ini,,,
phase-string,SendErrorReport:Send trace successfully,,,
phase-string,SendErrorReport:Starting,,,
phase-string,SendErrorReport:making request,,,
phase-string,SendErrorReport:took: 0.001008 seconds,,,
phase-string,SendErrorReport:took: 7.35E-4 seconds,,,
phase-string,SendErrorReport:took: 9.71E-4 seconds,,,
phase-string,Setting up team fog..,,,
phase-string,Starting errorReport,,,
phase-string,"Team(id: 0, name:null):Being replaced",,,
phase-string,"Team(id: 1, name:null):Being replaced",,,
phase-string,"Team(id: 2, name:null):Being replaced",,,
phase-string,"Team(id: 3, name:null):Being replaced",,,
phase-string,"Team(id: 4, name:null):Being replaced",,,
phase-string,"Team(id: 5, name:null):Being replaced",,,
phase-string,"Team(id: 6, name:null):Being replaced",,,
phase-string,"Team(id: 7, name:null):Being replaced",,,
phase-string,"Team(id: 8, name:null):Being replaced",,,
phase-string,"Team(id: 9, name:null):Being replaced",,,
phase-string,Version:v1.15,,,
phase-string,"We have an initial screen size, can do early setup of image buffers",,,
phase-string,Wrote cache file at: C:\Users\28210\Downloads\Rusted Warfare\rw源码逆向\RustedWarfare\cache\mods-info.cachedata\%47SD%47mods,,,
phase-string,Wrote cache file at: C:\Users\28210\Downloads\Rusted Warfare\rw源码逆向\RustedWarfare\cache\mods-info.cachedata\builtin_mods,,,
phase-string,actionParse: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,alert:Could not find key:DYNPROBEMOD|ECBC2BA52A56E38E72018AD74B261ACA9023854BDC61787D8CE755B7D5082CA8|ENABLED,,,
phase-string,alert:Error loading map: Could not find map: assets/assets/maps/menu_background/menu1.tmx,,,
phase-string,alert:Error loading map: Could not find map: assets/assets/maps/menu_background/menu2.tmx,,,
phase-string,alert:Error loading map: Could not find map: assets/assets/maps/menu_background/menu3.tmx,,,
phase-string,"alert:Error loading map: Could not find unit type of:modularSpider at x:906.0, y:2186.0",,,
phase-string,"alert:Error loading map: Could not find unit:combatEngineer at: 47,43",,,
phase-string,"alert:Error loading map: Could not find unit:experimentalSpider at: 127,74",,,
phase-string,alert:Error loading map: Unable to load or parse sourced tileset: tilesets/terrain/Long Grass.tsx,,,
phase-string,"alert:Missing unit data while loading map: Could not find unit:combatEngineer at: 47,43",,,
phase-string,"alert:Missing unit data while loading map: Could not find unit:experimentalSpider at: 127,74",,,
phase-string,alert:Unable to load or parse sourced tileset: tilesets/terrain/Long Grass.tsx,,,
phase-string,allUnitsChecksum took:0.291ms,,,
phase-string,allUnitsChecksum took:0.339ms,,,
phase-string,allUnitsChecksum took:0.350ms,,,
phase-string,allUnitsChecksum took:0.437ms,,,
phase-string,allUnitsChecksum took:0.439ms,,,
phase-string,allUnitsChecksum took:0.441ms,,,
phase-string,allUnitsChecksum took:0.448ms,,,
phase-string,allUnitsChecksum took:0.478ms,,,
phase-string,allUnitsChecksum took:0.500ms,,,
phase-string,allUnitsChecksum took:0.541ms,,,
phase-string,allUnitsChecksum took:0.554ms,,,
phase-string,allUnitsChecksum took:0.606ms,,,
phase-string,allUnitsChecksum took:0.631ms,,,
phase-string,cause:null,,,
phase-string,com.corrodinggames.librocket.a.b(SourceFile:62),,,
phase-string,com.corrodinggames.rts.game.i.a(SourceFile:5122),,,
phase-string,com.corrodinggames.rts.game.i.a(SourceFile:518),,,
phase-string,com.corrodinggames.rts.game.i.a(SourceFile:959),,,
phase-string,com.corrodinggames.rts.game.i.x(SourceFile:5235),,,
phase-string,com.corrodinggames.rts.gameFramework.SettingsEngine.<init>(SourceFile:1092),,,
phase-string,com.corrodinggames.rts.gameFramework.SettingsEngine.getInstance(SourceFile:324),,,
phase-string,com.corrodinggames.rts.gameFramework.SettingsEngine.loadFromFileSystem(SourceFile:612),,,
phase-string,com.corrodinggames.rts.gameFramework.ac.a(SourceFile:1260),,,
phase-string,com.corrodinggames.rts.gameFramework.l.T(SourceFile:1273),,,
phase-string,com.corrodinggames.rts.gameFramework.l.a(SourceFile:597),,,
phase-string,com.corrodinggames.rts.gameFramework.l.g(SourceFile:1294),,,
phase-string,com.corrodinggames.rts.java.Main.h(SourceFile:1380),,,
phase-string,com.corrodinggames.rts.java.Main.h(SourceFile:1394),,,
phase-string,com.corrodinggames.rts.java.b.gameLoop(SourceFile:146),,,
phase-string,com.corrodinggames.rts.java.b.updateAndRender(SourceFile:255),,,
phase-string,com.corrodinggames.rts.java.j.run(SourceFile:1464),,,
phase-string,com.corrodinggames.rts.java.u.b(SourceFile:286),,,
phase-string,com.corrodinggames.rts.java.u.c(SourceFile:302),,,
phase-string,com.corrodinggames.rts.java.u.render(SourceFile:1382),,,
phase-string,densityScale(): 1.0,,,
phase-string,densityScaleRaw*densityScaleMultiplier: 1.0,,,
phase-string,disabledSteam - loadWorkshopMods,,,
phase-string,enableAll:,com.corrodinggames.rts.game.units.custom.ag,,
phase-string,end libRocket setup,,,
phase-string,gameEngine:uncaughtExceptionHandler,,,
phase-string,gameThread already null,,,
phase-string,"gdxToAndroidCodes: Could not find keycode for: END, META_ALT_LEFT_ON, COLON, ANY_KEY, META_SHIFT_RIGHT_ON,",,,
phase-string,"gdxToSlickCodes: Could not find keycode for: MEDIA_REWIND, MEDIA_PLAY_PAUSE, BUTTON_SELECT, CENTER, BUTTON_X, BUTTON_Z, ",,,
phase-string,getControllerCount:0,,,
phase-string,imageLoad: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,imageLoadOrGet: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,iniClose: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,iniOpen: 0ms,,,
phase-string,iniParse: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,iniSetup: 0ms,com.corrodinggames.rts.game.units.custom.ah,,
phase-string,init(): using GraphicsSlick2d,,,
phase-string,isOverLiquid called without map loaded,,,
phase-string,java.base/java.lang.Thread.run(Thread.java:830),,,
phase-string,java.lang.NullPointerException,,,
phase-string,"java.lang.RuntimeException: Root locate file:Strings.properties is missing, it is required",,,
phase-string,java.lang.RuntimeException: document==null,,,
phase-string,layerBuffer:2x2 = 4 x2 for soft fade,,,
phase-string,layerBufferCount:1,,,
phase-string,layerBufferSize is too small,,,
phase-string,layerBufferSize:1024,,,
phase-string,libRocket setup took:28.320ms,,,
phase-string,libRocket setup took:28.524ms,,,
phase-string,libRocket setup took:28.630ms,,,
phase-string,libRocket setup took:28.805ms,,,
phase-string,libRocket setup took:29.626ms,,,
phase-string,libRocket setup took:29.745ms,,,
phase-string,libRocket setup took:29.767ms,,,
phase-string,libRocket setup took:29.816ms,,,
phase-string,libRocket setup took:29.988ms,,,
phase-string,libRocket setup took:30.037ms,,,
phase-string,libRocket setup took:30.167ms,,,
phase-string,libRocket setup took:30.351ms,,,
phase-string,libRocket setup took:421.982ms,,,
phase-string,libRocket setup took:74.024ms,,,
phase-string,loadAMenuMap took:20.963ms,,,
phase-string,loadAMenuMap took:22.339ms,,,
phase-string,loadAMenuMap took:22.358ms,,,
phase-string,loadAMenuMap took:22.818ms,,,
phase-string,loadAMenuMap took:22.863ms,,,
