jar_fqn,status,file_03
android.util.Log$TerribleFailureHandler,third-party,
android.util.SparseArray,third-party,
android.util.a,third-party,
android.view.KeyEvent,third-party,
android.view.KeyEvent$1,third-party,
android.view.KeyEvent$Callback,third-party,
android.view.KeyEvent$DispatcherState,third-party,
com.Element,third-party,
com.ElementDocument,third-party,
com.ElementList,third-party,
com.LibRocket,third-party,
com.LibRocket$CompiledGeometry,third-party,
com.LibRocket$TextureHolder,third-party,
com.a.a.a.a,third-party,
com.codedisaster.steamworks.SteamAPI,third-party,
com.codedisaster.steamworks.SteamAPICall,third-party,
com.codedisaster.steamworks.SteamAPIWarningMessageHook,third-party,
com.codedisaster.steamworks.SteamApps,third-party,
com.codedisaster.steamworks.SteamAuth,third-party,
com.codedisaster.steamworks.SteamAuth$AuthSessionResponse,third-party,
com.codedisaster.steamworks.SteamAuth$BeginAuthSessionResult,third-party,
com.codedisaster.steamworks.SteamAuth$UserHasLicenseForAppResult,third-party,
com.codedisaster.steamworks.SteamAuthTicket,third-party,
com.codedisaster.steamworks.SteamCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamController,third-party,
com.codedisaster.steamworks.SteamController$ActionOrigin,third-party,
com.codedisaster.steamworks.SteamController$LEDFlag,third-party,
com.codedisaster.steamworks.SteamController$Pad,third-party,
com.codedisaster.steamworks.SteamController$Source,third-party,
com.codedisaster.steamworks.SteamController$SourceMode,third-party,
com.codedisaster.steamworks.SteamControllerActionSetHandle,third-party,
com.codedisaster.steamworks.SteamControllerAnalogActionData,third-party,
com.codedisaster.steamworks.SteamControllerAnalogActionHandle,third-party,
com.codedisaster.steamworks.SteamControllerDigitalActionData,third-party,
com.codedisaster.steamworks.SteamControllerDigitalActionHandle,third-party,
com.codedisaster.steamworks.SteamControllerHandle,third-party,
com.codedisaster.steamworks.SteamControllerMotionData,third-party,
com.codedisaster.steamworks.SteamException,third-party,
com.codedisaster.steamworks.SteamFriends,third-party,
com.codedisaster.steamworks.SteamFriends$FriendFlags,third-party,
com.codedisaster.steamworks.SteamFriends$FriendRelationship,third-party,
com.codedisaster.steamworks.SteamFriends$OverlayDialog,third-party,
com.codedisaster.steamworks.SteamFriends$OverlayToStoreFlag,third-party,
com.codedisaster.steamworks.SteamFriends$OverlayToUserDialog,third-party,
com.codedisaster.steamworks.SteamFriends$PersonaChange,third-party,
com.codedisaster.steamworks.SteamFriends$PersonaState,third-party,
com.codedisaster.steamworks.SteamFriendsCallback,third-party,
com.codedisaster.steamworks.SteamFriendsCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamGameServer,third-party,
com.codedisaster.steamworks.SteamGameServer$DenyReason,third-party,
com.codedisaster.steamworks.SteamGameServerAPI,third-party,
com.codedisaster.steamworks.SteamGameServerAPI$ServerMode,third-party,
com.codedisaster.steamworks.SteamGameServerCallback,third-party,
com.codedisaster.steamworks.SteamGameServerCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamGameServerStats,third-party,
com.codedisaster.steamworks.SteamGameServerStatsCallback,third-party,
com.codedisaster.steamworks.SteamGameServerStatsCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamHTTP,third-party,
com.codedisaster.steamworks.SteamHTTP$API,third-party,
com.codedisaster.steamworks.SteamHTTP$HTTPMethod,third-party,
com.codedisaster.steamworks.SteamHTTP$HTTPStatusCode,third-party,
com.codedisaster.steamworks.SteamHTTPCallback,third-party,
com.codedisaster.steamworks.SteamHTTPCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamHTTPRequestHandle,third-party,
com.codedisaster.steamworks.SteamID,third-party,
com.codedisaster.steamworks.SteamInterface,third-party,
com.codedisaster.steamworks.SteamLeaderboardEntriesHandle,third-party,
com.codedisaster.steamworks.SteamLeaderboardEntry,third-party,
com.codedisaster.steamworks.SteamLeaderboardHandle,third-party,
com.codedisaster.steamworks.SteamMatchMakingKeyValuePair,third-party,
com.codedisaster.steamworks.SteamMatchmaking,third-party,
com.codedisaster.steamworks.SteamMatchmaking$ChatEntry,third-party,
com.codedisaster.steamworks.SteamMatchmaking$ChatEntryType,third-party,
com.codedisaster.steamworks.SteamMatchmaking$ChatMemberStateChange,third-party,
com.codedisaster.steamworks.SteamMatchmaking$ChatRoomEnterResponse,third-party,
com.codedisaster.steamworks.SteamMatchmaking$LobbyComparison,third-party,
com.codedisaster.steamworks.SteamMatchmaking$LobbyDistanceFilter,third-party,
com.codedisaster.steamworks.SteamMatchmaking$LobbyType,third-party,
com.codedisaster.steamworks.SteamMatchmakingCallback,third-party,
com.codedisaster.steamworks.SteamMatchmakingCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamNativeHandle,third-party,
com.codedisaster.steamworks.SteamNetworking,third-party,
com.codedisaster.steamworks.SteamNetworking$API,third-party,
com.codedisaster.steamworks.SteamNetworking$P2PSend,third-party,
com.codedisaster.steamworks.SteamNetworking$P2PSessionError,third-party,
com.codedisaster.steamworks.SteamNetworking$P2PSessionState,third-party,
com.codedisaster.steamworks.SteamNetworkingCallback,third-party,
com.codedisaster.steamworks.SteamNetworkingCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamPublishedFileID,third-party,
com.codedisaster.steamworks.SteamPublishedFileUpdateHandle,third-party,
com.codedisaster.steamworks.SteamRemoteStorage,third-party,
com.codedisaster.steamworks.SteamRemoteStorage$PublishedFileVisibility,third-party,
com.codedisaster.steamworks.SteamRemoteStorage$RemoteStoragePlatform,third-party,
com.codedisaster.steamworks.SteamRemoteStorage$UGCReadAction,third-party,
com.codedisaster.steamworks.SteamRemoteStorage$WorkshopFileType,third-party,
com.codedisaster.steamworks.SteamRemoteStorageCallback,third-party,
com.codedisaster.steamworks.SteamRemoteStorageCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamResult,third-party,
com.codedisaster.steamworks.SteamSharedLibraryLoader,third-party,
com.codedisaster.steamworks.SteamUGC,third-party,
com.codedisaster.steamworks.SteamUGC$ItemAdditionalPreview,third-party,
com.codedisaster.steamworks.SteamUGC$ItemDownloadInfo,third-party,
com.codedisaster.steamworks.SteamUGC$ItemInstallInfo,third-party,
com.codedisaster.steamworks.SteamUGC$ItemPreviewType,third-party,
com.codedisaster.steamworks.SteamUGC$ItemState,third-party,
com.codedisaster.steamworks.SteamUGC$ItemStatistic,third-party,
com.codedisaster.steamworks.SteamUGC$ItemUpdateInfo,third-party,
com.codedisaster.steamworks.SteamUGC$ItemUpdateStatus,third-party,
com.codedisaster.steamworks.SteamUGC$MatchingUGCType,third-party,
com.codedisaster.steamworks.SteamUGC$UGCQueryType,third-party,
com.codedisaster.steamworks.SteamUGC$UserUGCList,third-party,
com.codedisaster.steamworks.SteamUGC$UserUGCListSortOrder,third-party,
com.codedisaster.steamworks.SteamUGCCallback,third-party,
com.codedisaster.steamworks.SteamUGCCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamUGCDetails,third-party,
com.codedisaster.steamworks.SteamUGCFileWriteStreamHandle,third-party,
com.codedisaster.steamworks.SteamUGCHandle,third-party,
com.codedisaster.steamworks.SteamUGCQuery,third-party,
com.codedisaster.steamworks.SteamUGCUpdateHandle,third-party,
com.codedisaster.steamworks.SteamUniverse,third-party,
com.codedisaster.steamworks.SteamUser,third-party,
com.codedisaster.steamworks.SteamUserCallback,third-party,
com.codedisaster.steamworks.SteamUserCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamUserStats,third-party,
com.codedisaster.steamworks.SteamUserStats$LeaderboardDataRequest,third-party,
com.codedisaster.steamworks.SteamUserStats$LeaderboardDisplayType,third-party,
com.codedisaster.steamworks.SteamUserStats$LeaderboardSortMethod,third-party,
com.codedisaster.steamworks.SteamUserStats$LeaderboardUploadScoreMethod,third-party,
com.codedisaster.steamworks.SteamUserStatsCallback,third-party,
com.codedisaster.steamworks.SteamUserStatsCallbackAdapter,third-party,
com.codedisaster.steamworks.SteamUtils,third-party,
com.codedisaster.steamworks.SteamUtils$NotificationPosition,third-party,
com.codedisaster.steamworks.SteamUtils$SteamAPICallFailure,third-party,
com.codedisaster.steamworks.SteamUtilsCallback,third-party,
com.codedisaster.steamworks.SteamUtilsCallbackAdapter,third-party,
com.corrodinggames.librocket.a,semantic-hit,com/corrodinggames/librocket/LibRocketContext.java
com.corrodinggames.librocket.a$1,semantic-hit,com/corrodinggames/librocket/LibRocketContext$1.java
com.corrodinggames.librocket.a$2,semantic-hit,com/corrodinggames/librocket/LibRocketContext$2.java
com.corrodinggames.librocket.a$2$1,semantic-hit,com/corrodinggames/librocket/LibRocketContext$2$1.java
com.corrodinggames.librocket.a$2$2,semantic-hit,com/corrodinggames/librocket/LibRocketContext$2$2.java
com.corrodinggames.librocket.b,semantic-hit,com/corrodinggames/librocket/LibRocketBridge.java
com.corrodinggames.librocket.c,semantic-hit,com/corrodinggames/librocket/ElementWrapper.java
com.corrodinggames.librocket.d,semantic-hit,com/corrodinggames/librocket/DocumentWrapper.java
com.corrodinggames.librocket.e,obf-hit,com/corrodinggames/librocket/e.java
com.corrodinggames.librocket.scripts.Debug,semantic-hit,com/corrodinggames/librocket/scripts/DebugUI.java
com.corrodinggames.librocket.scripts.Debug$1,semantic-hit,com/corrodinggames/librocket/scripts/DebugUI$1.java
com.corrodinggames.librocket.scripts.Mods,semantic-hit,com/corrodinggames/librocket/scripts/ModsUI.java
com.corrodinggames.librocket.scripts.Mods$1,semantic-hit,com/corrodinggames/librocket/scripts/ModsUI$1.java
com.corrodinggames.librocket.scripts.Multiplayer,semantic-hit,com/corrodinggames/librocket/scripts/MultiplayerUI.java
com.corrodinggames.librocket.scripts.Multiplayer$1,semantic-hit,com/corrodinggames/librocket/scripts/MultiplayerUI$1.java
com.corrodinggames.librocket.scripts.Multiplayer$DropdownOption,semantic-hit,com/corrodinggames/librocket/scripts/MultiplayerUI$DropdownOption.java
com.corrodinggames.librocket.scripts.Root,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController.java
com.corrodinggames.librocket.scripts.Root$1,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$1.java
com.corrodinggames.librocket.scripts.Root$10,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$10.java
com.corrodinggames.librocket.scripts.Root$11,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$11.java
com.corrodinggames.librocket.scripts.Root$2,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$2.java
com.corrodinggames.librocket.scripts.Root$3,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$3.java
com.corrodinggames.librocket.scripts.Root$4,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$4.java
com.corrodinggames.librocket.scripts.Root$5,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$5.java
com.corrodinggames.librocket.scripts.Root$6,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$6.java
com.corrodinggames.librocket.scripts.Root$7,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$7.java
com.corrodinggames.librocket.scripts.Root$8,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$8.java
com.corrodinggames.librocket.scripts.Root$9,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$9.java
com.corrodinggames.librocket.scripts.Root$TableCell,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$TableCell.java
com.corrodinggames.librocket.scripts.Root$TableData,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$TableData.java
com.corrodinggames.librocket.scripts.Root$TableRow,semantic-hit,com/corrodinggames/librocket/scripts/MainUIController$TableRow.java
com.corrodinggames.librocket.scripts.ScriptContext,obf-hit,com/corrodinggames/librocket/scripts/ScriptContext.java
com.corrodinggames.librocket.scripts.ScriptEngine,obf-hit,com/corrodinggames/librocket/scripts/ScriptEngine.java
com.corrodinggames.librocket.scripts.ScriptEngine$1,obf-inner,com/corrodinggames/librocket/scripts/ScriptEngine$1.java
com.corrodinggames.librocket.scripts.ScriptEngine$Action,obf-inner,com/corrodinggames/librocket/scripts/ScriptEngine$Action.java
com.corrodinggames.librocket.scripts.ScriptEngine$RunnableAction,obf-inner,com/corrodinggames/librocket/scripts/ScriptEngine$RunnableAction.java
com.corrodinggames.rts.R,obf-hit,com/corrodinggames/rts/R.java
com.corrodinggames.rts.R$anim,obf-inner,com/corrodinggames/rts/R$anim.java
com.corrodinggames.rts.R$array,obf-inner,com/corrodinggames/rts/R$array.java
com.corrodinggames.rts.R$attr,obf-inner,com/corrodinggames/rts/R$attr.java
com.corrodinggames.rts.R$color,obf-inner,com/corrodinggames/rts/R$color.java
com.corrodinggames.rts.R$drawable,obf-inner,com/corrodinggames/rts/R$drawable.java
com.corrodinggames.rts.R$id,obf-inner,com/corrodinggames/rts/R$id.java
com.corrodinggames.rts.R$layout,obf-inner,com/corrodinggames/rts/R$layout.java
com.corrodinggames.rts.R$raw,obf-inner,com/corrodinggames/rts/R$raw.java
com.corrodinggames.rts.R$string,obf-inner,com/corrodinggames/rts/R$string.java
com.corrodinggames.rts.R$style,obf-inner,com/corrodinggames/rts/R$style.java
com.corrodinggames.rts.R$styleable,obf-inner,com/corrodinggames/rts/R$styleable.java
com.corrodinggames.rts.R$xml,obf-inner,com/corrodinggames/rts/R$xml.java
com.corrodinggames.rts.a.a,semantic-hit,com/corrodinggames/rts/gameFramework/commands/DebugServer.java
com.corrodinggames.rts.a.a$1,obf-inner,com/corrodinggames/rts/java/input/a$1.java
com.corrodinggames.rts.a.a$2,obf-inner,com/corrodinggames/rts/platform/a$2.java
com.corrodinggames.rts.a.a.a,semantic-hit,com/corrodinggames/rts/platform/net/TestGameLogic.java
com.corrodinggames.rts.a.a.b,semantic-hit,com/corrodinggames/rts/platform/net/TestNetworking.java
com.corrodinggames.rts.a.a.c,semantic-hit,com/corrodinggames/rts/platform/net/TestLogicBoolean.java
com.corrodinggames.rts.a.a.d,semantic-hit,com/corrodinggames/rts/platform/net/TestMath.java
com.corrodinggames.rts.a.a.e,semantic-hit,com/corrodinggames/rts/platform/net/TestFilesystem.java
com.corrodinggames.rts.a.a.f,semantic-hit,com/corrodinggames/rts/platform/net/TestPerformance.java
com.corrodinggames.rts.a.a.g,obf-hit,com/corrodinggames/rts/game/units/commands/slots/g.java
com.corrodinggames.rts.a.a.h,obf-hit,com/corrodinggames/rts/game/units/commands/slots/h.java
com.corrodinggames.rts.a.a.i,semantic-hit,com/corrodinggames/rts/platform/net/UDPPacketBase.java
com.corrodinggames.rts.a.a.j,obf-hit,com/corrodinggames/rts/game/units/custom/actions/base/j.java
com.corrodinggames.rts.a.a.k,obf-hit,com/corrodinggames/rts/game/units/custom/actions/base/k.java
com.corrodinggames.rts.a.a.l,semantic-hit,com/corrodinggames/rts/platform/net/TestCase.java
com.corrodinggames.rts.a.a.m,obf-hit,com/corrodinggames/rts/gameFramework/ui/panels/m.java
com.corrodinggames.rts.a.a.n,semantic-hit,com/corrodinggames/rts/platform/net/TestRunner.java
com.corrodinggames.rts.a.b,obf-hit,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.a.c,semantic-hit,com/corrodinggames/rts/platform/NetworkSessionBase.java
com.corrodinggames.rts.appFramework.a,semantic-hit,com/corrodinggames/rts/appFramework/AppContext.java
com.corrodinggames.rts.appFramework.b,semantic-hit,com/corrodinggames/rts/appFramework/GameActivity.java
com.corrodinggames.rts.appFramework.c,semantic-hit,com/corrodinggames/rts/appFramework/AndroidUIHelper.java
com.corrodinggames.rts.appFramework.c$1,semantic-hit,com/corrodinggames/rts/appFramework/AndroidUIHelper$1.java
com.corrodinggames.rts.appFramework.c$2,semantic-hit,com/corrodinggames/rts/appFramework/AndroidUIHelper$2.java
com.corrodinggames.rts.appFramework.c$2$1,semantic-hit,com/corrodinggames/rts/appFramework/AndroidUIHelper$2$1.java
com.corrodinggames.rts.appFramework.d,semantic-hit,com/corrodinggames/rts/appFramework/AbstractAppBase.java
com.corrodinggames.rts.appFramework.e,semantic-hit,com/corrodinggames/rts/appFramework/AppState.java
com.corrodinggames.rts.appFramework.f,semantic-hit,com/corrodinggames/rts/appFramework/AppFramework.java
com.corrodinggames.rts.appFramework.g,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity.java
com.corrodinggames.rts.appFramework.g$1,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$1.java
com.corrodinggames.rts.appFramework.g$10,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$10.java
com.corrodinggames.rts.appFramework.g$11,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$11.java
com.corrodinggames.rts.appFramework.g$12,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$12.java
com.corrodinggames.rts.appFramework.g$13,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$13.java
com.corrodinggames.rts.appFramework.g$14,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$14.java
com.corrodinggames.rts.appFramework.g$15,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$15.java
com.corrodinggames.rts.appFramework.g$16,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$16.java
com.corrodinggames.rts.appFramework.g$2,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$2.java
com.corrodinggames.rts.appFramework.g$3,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$3.java
com.corrodinggames.rts.appFramework.g$4,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$4.java
com.corrodinggames.rts.appFramework.g$4$1,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$4$1.java
com.corrodinggames.rts.appFramework.g$5,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$5.java
com.corrodinggames.rts.appFramework.g$6,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$6.java
com.corrodinggames.rts.appFramework.g$6$1,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$6$1.java
com.corrodinggames.rts.appFramework.g$7,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$7.java
com.corrodinggames.rts.appFramework.g$8,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$8.java
com.corrodinggames.rts.appFramework.g$9,semantic-hit,com/corrodinggames/rts/appFramework/InGameActivity$9.java
com.corrodinggames.rts.appFramework.h,semantic-hit,com/corrodinggames/rts/appFramework/UIRunnable.java
com.corrodinggames.rts.appFramework.i,semantic-hit,com/corrodinggames/rts/appFramework/ContextMenuActivity.java
com.corrodinggames.rts.appFramework.j,semantic-hit,com/corrodinggames/rts/appFramework/ButtonActivity.java
com.corrodinggames.rts.appFramework.k,semantic-hit,com/corrodinggames/rts/appFramework/ReplayComparator.java
com.corrodinggames.rts.appFramework.l,semantic-hit,com/corrodinggames/rts/appFramework/MultiTouchHandler.java
com.corrodinggames.rts.appFramework.m,semantic-hit,com/corrodinggames/rts/appFramework/TouchState.java
com.corrodinggames.rts.appFramework.n,semantic-hit,com/corrodinggames/rts/appFramework/DialogHelper.java
com.corrodinggames.rts.appFramework.n$1,semantic-hit,com/corrodinggames/rts/appFramework/DialogHelper$1.java
com.corrodinggames.rts.appFramework.n$2,semantic-hit,com/corrodinggames/rts/appFramework/DialogHelper$2.java
com.corrodinggames.rts.appFramework.n$3,semantic-hit,com/corrodinggames/rts/appFramework/DialogHelper$3.java
com.corrodinggames.rts.appFramework.n$4,semantic-hit,com/corrodinggames/rts/appFramework/DialogHelper$4.java
com.corrodinggames.rts.appFramework.n$5,semantic-hit,com/corrodinggames/rts/appFramework/DialogHelper$5.java
com.corrodinggames.rts.appFramework.o,obf-hit,com/corrodinggames/rts/appFramework/o.java
com.corrodinggames.rts.appFramework.p,obf-hit,com/corrodinggames/rts/appFramework/p.java
com.corrodinggames.rts.appFramework.p$1,obf-inner,com/corrodinggames/rts/appFramework/p$1.java
com.corrodinggames.rts.appFramework.q,obf-hit,com/corrodinggames/rts/appFramework/q.java
com.corrodinggames.rts.appFramework.r,semantic-hit,com/corrodinggames/rts/appFramework/ReplayComparator.java
com.corrodinggames.rts.appFramework.s,obf-hit,com/corrodinggames/rts/appFramework/s.java
com.corrodinggames.rts.appFramework.s$1,obf-inner,com/corrodinggames/rts/appFramework/s$1.java
com.corrodinggames.rts.game.a,semantic-hit,com/corrodinggames/rts/game/GameFlag.java
com.corrodinggames.rts.game.a.a,obf-hit,com/a/a/a/a.java
com.corrodinggames.rts.game.a.a$1,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$1.java
com.corrodinggames.rts.game.a.a$10,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$10.java
com.corrodinggames.rts.game.a.a$11,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$11.java
com.corrodinggames.rts.game.a.a$12,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$12.java
com.corrodinggames.rts.game.a.a$13,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$13.java
com.corrodinggames.rts.game.a.a$2,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$2.java
com.corrodinggames.rts.game.a.a$3,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$3.java
com.corrodinggames.rts.game.a.a$4,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$4.java
com.corrodinggames.rts.game.a.a$5,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$5.java
com.corrodinggames.rts.game.a.a$6,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$6.java
com.corrodinggames.rts.game.a.a$7,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$7.java
com.corrodinggames.rts.game.a.a$8,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$8.java
com.corrodinggames.rts.game.a.a$9,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$9.java
com.corrodinggames.rts.game.a.a.a,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy.java
com.corrodinggames.rts.game.a.a.a$1,semantic-hit,com/corrodinggames/rts/game/ai/AIStrategy$1.java
com.corrodinggames.rts.game.a.a.b,semantic-hit,com/corrodinggames/rts/game/ai/strategies/AIStrategyResult.java
com.corrodinggames.rts.game.a.a.b$1,inner-via-outer,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.game.a.a.b$2,inner-via-outer,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.game.a.a.c,obf-hit,com/corrodinggames/rts/game/units/custom/actions/c.java
com.corrodinggames.rts.game.a.a.d,obf-hit,com/corrodinggames/rts/game/units/commands/slots/d.java
com.corrodinggames.rts.game.a.b,obf-hit,com/corrodinggames/rts/game/units/custom/actions/b.java
com.corrodinggames.rts.game.a.c,obf-hit,com/corrodinggames/rts/game/units/custom/actions/c.java
com.corrodinggames.rts.game.a.d,semantic-hit,com/corrodinggames/rts/game/ai/UnitBuildStrategy.java
com.corrodinggames.rts.game.a.e,semantic-hit,com/corrodinggames/rts/game/ai/CombatAction.java
com.corrodinggames.rts.game.a.f,semantic-hit,com/corrodinggames/rts/game/ai/AIUnitActionUtils.java
com.corrodinggames.rts.game.a.g,semantic-hit,com/corrodinggames/rts/game/ai/CombatMain.java
com.corrodinggames.rts.game.a.h,semantic-hit,com/corrodinggames/rts/game/ai/AIUnitGroupBase.java
com.corrodinggames.rts.game.a.i,semantic-hit,com/corrodinggames/rts/game/Projectile.java
com.corrodinggames.rts.game.a.j,semantic-hit,com/corrodinggames/rts/game/ai/BaseZoneType.java
com.corrodinggames.rts.game.a.k,semantic-hit,com/corrodinggames/rts/game/ai/BaseZoneStage.java
com.corrodinggames.rts.game.a.l,semantic-hit,com/corrodinggames/rts/game/ai/RallyGroup.java
