obfuscated_package,obfuscated_class,status,notes
com.corrodinggames.rts.game.units.custom,ap,unmapped,
com.corrodinggames.rts.game.units.custom,aq,unmapped,
com.corrodinggames.rts.game.units.custom,ar,unmapped,
com.corrodinggames.rts.game.units.custom,at,unmapped,
com.corrodinggames.rts.game.units.custom,au,unmapped,
com.corrodinggames.rts.game.units.custom,av,unmapped,
com.corrodinggames.rts.game.units.custom,aw,unmapped,
com.corrodinggames.rts.game.units.custom,ax,unmapped,
com.corrodinggames.rts.game.units.custom,ay,unmapped,
com.corrodinggames.rts.game.units.custom,az,unmapped,
com.corrodinggames.rts.game.units.custom,bb,unmapped,
com.corrodinggames.rts.game.units.custom,bc,unmapped,
com.corrodinggames.rts.game.units.custom,bd,unmapped,
com.corrodinggames.rts.game.units.custom,be,unmapped,
com.corrodinggames.rts.game.units.custom,bf,unmapped,
com.corrodinggames.rts.game.units.custom,bg,unmapped,
com.corrodinggames.rts.game.units.custom,bi,unmapped,
com.corrodinggames.rts.game.units.custom,bj,unmapped,
com.corrodinggames.rts.game.units.custom,bk,unmapped,
com.corrodinggames.rts.game.units.custom,bl,unmapped,
com.corrodinggames.rts.game.units.custom,bm,unmapped,
com.corrodinggames.rts.game.units.custom,bp,unmapped,
com.corrodinggames.rts.game.units.custom,bq,unmapped,
com.corrodinggames.rts.game.units.custom,g,unmapped,
com.corrodinggames.rts.game.units.custom.a,a,unmapped,
com.corrodinggames.rts.game.units.custom.a,b,unmapped,
com.corrodinggames.rts.game.units.custom.a,d,unmapped,
com.corrodinggames.rts.game.units.custom.a,e,unmapped,
com.corrodinggames.rts.game.units.custom.a,f,unmapped,
com.corrodinggames.rts.game.units.custom.a.a,c,unmapped,
com.corrodinggames.rts.game.units.custom.a.a,i,unmapped,
com.corrodinggames.rts.game.units.custom.a.a,k,unmapped,
com.corrodinggames.rts.game.units.custom.a.a,l,unmapped,
com.corrodinggames.rts.game.units.custom.a.a,n,unmapped,
com.corrodinggames.rts.game.units.custom.b,b,unmapped,
com.corrodinggames.rts.game.units.custom.b,e,unmapped,
com.corrodinggames.rts.game.units.custom.b,i,unmapped,
com.corrodinggames.rts.game.units.custom.b,j,unmapped,
com.corrodinggames.rts.game.units.custom.b,k,unmapped,
com.corrodinggames.rts.game.units.custom.b,l,unmapped,
com.corrodinggames.rts.game.units.custom.c,a,unmapped,
com.corrodinggames.rts.game.units.custom.c,c,unmapped,
com.corrodinggames.rts.game.units.custom.c,d,unmapped,
com.corrodinggames.rts.game.units.custom.c,e,unmapped,
com.corrodinggames.rts.game.units.custom.c,f,unmapped,
com.corrodinggames.rts.game.units.custom.d,d,unmapped,
com.corrodinggames.rts.game.units.custom.e,b,unmapped,
com.corrodinggames.rts.game.units.custom.e,e,unmapped,
com.corrodinggames.rts.game.units.custom.e.a,b,unmapped,
com.corrodinggames.rts.game.units.custom.e.a,c,unmapped,
com.corrodinggames.rts.game.units.custom.e.a,d,unmapped,
com.corrodinggames.rts.game.units.custom.e.a,e,unmapped,
com.corrodinggames.rts.game.units.custom.e.a,f,unmapped,
com.corrodinggames.rts.game.units.custom.f,c,unmapped,
com.corrodinggames.rts.game.units.custom.f,d,unmapped,
com.corrodinggames.rts.game.units.d,l,unmapped,
com.corrodinggames.rts.game.units.d,t,unmapped,
com.corrodinggames.rts.game.units.d.a,d,unmapped,
com.corrodinggames.rts.game.units.d.a,e,unmapped,
com.corrodinggames.rts.game.units.d.a,f,unmapped,
com.corrodinggames.rts.game.units.d.a,g,unmapped,
com.corrodinggames.rts.game.units.d.a,h,unmapped,
com.corrodinggames.rts.game.units.e,c,unmapped,
com.corrodinggames.rts.game.units.f,a,unmapped,
com.corrodinggames.rts.game.units.f,c,unmapped,
com.corrodinggames.rts.game.units.f,d,unmapped,
com.corrodinggames.rts.game.units.f,f,unmapped,
com.corrodinggames.rts.game.units.f,g,unmapped,
com.corrodinggames.rts.game.units.f,h,unmapped,
com.corrodinggames.rts.gameFramework,bh,unmapped,
com.corrodinggames.rts.gameFramework,bj,unmapped,
com.corrodinggames.rts.gameFramework,bl,unmapped,
com.corrodinggames.rts.gameFramework,bn,unmapped,
com.corrodinggames.rts.gameFramework,bo,unmapped,
com.corrodinggames.rts.gameFramework,bq,unmapped,
com.corrodinggames.rts.gameFramework,n,unmapped,
com.corrodinggames.rts.gameFramework.b,ab,unmapped,
com.corrodinggames.rts.gameFramework.b,ac,unmapped,
com.corrodinggames.rts.gameFramework.b,ag,unmapped,
com.corrodinggames.rts.gameFramework.b,f,unmapped,
com.corrodinggames.rts.gameFramework.b,k,unmapped,
com.corrodinggames.rts.gameFramework.b.a,a,unmapped,
com.corrodinggames.rts.gameFramework.b.a,c,unmapped,
com.corrodinggames.rts.gameFramework.b.a,d,unmapped,
com.corrodinggames.rts.gameFramework.b.a,g,unmapped,
com.corrodinggames.rts.gameFramework.f,ac,unmapped,
com.corrodinggames.rts.gameFramework.f.a,b,unmapped,
com.corrodinggames.rts.gameFramework.f.a,c,unmapped,
com.corrodinggames.rts.gameFramework.f.a,d,unmapped,
com.corrodinggames.rts.gameFramework.f.a,e,unmapped,
com.corrodinggames.rts.gameFramework.f.a,f,unmapped,
com.corrodinggames.rts.gameFramework.f.a,g,unmapped,
com.corrodinggames.rts.gameFramework.f.a,i,unmapped,
com.corrodinggames.rts.gameFramework.f.a,m,unmapped,
com.corrodinggames.rts.gameFramework.g,b,unmapped,
com.corrodinggames.rts.gameFramework.g,c,unmapped,
com.corrodinggames.rts.gameFramework.g,d,unmapped,
com.corrodinggames.rts.gameFramework.g,e,unmapped,
com.corrodinggames.rts.gameFramework.g,f,unmapped,
com.corrodinggames.rts.gameFramework.j,ag,unmapped,
com.corrodinggames.rts.gameFramework.j,m,unmapped,
com.corrodinggames.rts.gameFramework.j,t,unmapped,
com.corrodinggames.rts.gameFramework.m,ab,unmapped,
com.corrodinggames.rts.gameFramework.m,c,unmapped,
com.corrodinggames.rts.gameFramework.m,d,unmapped,
com.corrodinggames.rts.gameFramework.m,r,unmapped,
com.corrodinggames.rts.gameFramework.m,s,unmapped,
com.corrodinggames.rts.gameFramework.m,w,unmapped,
com.corrodinggames.rts.gameFramework.n.a,a,unmapped,
com.corrodinggames.rts.gameFramework.n.a,b,unmapped,
com.corrodinggames.rts.gameFramework.n.a,c,unmapped,
com.corrodinggames.rts.gameFramework.utility,ad,unmapped,
com.corrodinggames.rts.gameFramework.utility,ae,unmapped,
com.corrodinggames.rts.gameFramework.utility,af,unmapped,
com.corrodinggames.rts.gameFramework.utility,ah,unmapped,
com.corrodinggames.rts.gameFramework.utility,ai,unmapped,
com.corrodinggames.rts.gameFramework.utility,ak,unmapped,
com.corrodinggames.rts.gameFramework.utility,al,unmapped,
com.corrodinggames.rts.gameFramework.utility,am,unmapped,
com.corrodinggames.rts.gameFramework.utility,e,unmapped,
com.corrodinggames.rts.gameFramework.utility,f,unmapped,
com.corrodinggames.rts.gameFramework.utility,g,unmapped,
com.corrodinggames.rts.gameFramework.utility,i,unmapped,
com.corrodinggames.rts.gameFramework.utility,k,unmapped,
com.corrodinggames.rts.gameFramework.utility,m,unmapped,
com.corrodinggames.rts.gameFramework.utility,o,unmapped,
com.corrodinggames.rts.gameFramework.utility,u,unmapped,
com.corrodinggames.rts.java.a,a,unmapped,
com.corrodinggames.rts.java.audio.a,c,unmapped,
com.corrodinggames.rts.java.audio.a,e,unmapped,
com.corrodinggames.rts.java.audio.a,f,unmapped,
com.corrodinggames.rts.java.audio.a,g,unmapped,
com.corrodinggames.rts.java.audio.a,h,unmapped,
com.corrodinggames.rts.java.audio.a,i,unmapped,
com.corrodinggames.rts.java.audio.a,j,unmapped,
com.corrodinggames.rts.java.audio.a,k,unmapped,
com.corrodinggames.rts.java.audio.a,l,unmapped,
com.corrodinggames.rts.java.audio.a,m,unmapped,
com.corrodinggames.rts.java.audio.a,n,unmapped,
com.corrodinggames.rts.java.audio.a,o,unmapped,
com.corrodinggames.rts.java.audio.a,p,unmapped,
com.corrodinggames.rts.java.audio.a,q,unmapped,
com.corrodinggames.rts.java.audio.a,s,unmapped,
com.corrodinggames.rts.java.audio.a,t,unmapped,
com.corrodinggames.rts.java.c,c,unmapped,
com.corrodinggames.rts.java.c,d,unmapped,
com.corrodinggames.rts.java.c,h,unmapped,
